Year,City,Temperature_C
1957,Chandigarh,40.58
1957,Solapur,6.46
1957,Hubli-Dharwad,12.71
1957,Mysuru,21.89
1958,New Delhi,26.33
1958,Mumbai,33.09
1958,Kolkata,28.56
1958,Bengaluru,13.3
1958,Hyderabad,46.88
1958,Ahmedabad,7.47
1958,Jaipur,17.82
1958,Surat,33.6
1958,Lucknow,10.56
1958,Kanpur,41.3
1958,Nagpur,34.52
1958,Indore,14.04
1958,Thane,33.8
1958,Bhopal,34.19
1958,Visakhapatnam,32.14
1958,Patna,39.51
1958,Vadodara,14.12
1958,Ghaziabad,11.15
1958,Ludhiana,27.37
1958,Agra,45.82
1958,Nashik,26.74
1958,Rajkot,11.36
1958,Kalyan-Dombivli,33.9
1958,Vasai-Virar,31.67
1958,Varanasi,7.94
1958,Aurangabad,34.59
1958,Navi Mumbai,29.33
1958,Prayagraj,38.82
1958,Howrah,24.56
1958,Jabalpur,37.61
1958,Coimbatore,18.09
1958,Vijayawada,26.84
1958,Jodhpur,4.35
1958,Madurai,44.2
1958,Kota,36.25
1958,Chandigarh,38.9
1958,Solapur,16.1
1958,Hubli-Dharwad,20.55
1958,Mysuru,21.59
1959,New Delhi,30.54
1959,Mumbai,30.89
1959,Chennai,26.97
1959,Bengaluru,27.43
1959,Hyderabad,5.54
1959,Pune,30.16
1959,Jaipur,15.27
1959,Surat,36.49
1959,Lucknow,9.91
1959,Kanpur,30.03
1959,Nagpur,14.49
1959,Indore,46.83
1959,Bhopal,21.25
1959,Visakhapatnam,36.31
1959,Patna,19.2
1959,Vadodara,45.01
1959,Ghaziabad,19.34
1959,Ludhiana,34.21
1959,Nashik,19.44
1959,Faridabad,21.21
1959,Meerut,34.93
1959,Kalyan-Dombivli,27.79
1959,Varanasi,4.72
1959,Srinagar,20.68
1959,Aurangabad,40.1
1959,Dhanbad,14.28
1959,Amritsar,38.74
1959,Prayagraj,10.7
1959,Howrah,32.73
1959,Gwalior,17.81
1959,Jabalpur,44.08
1959,Vijayawada,7.51
1959,Jodhpur,28.76
1959,Madurai,14.08
1959,Raipur,11.19
1959,Guwahati,31.58
1959,Chandigarh,32.95
1959,Solapur,31.66
1959,Hubli-Dharwad,34.56
1959,Mysuru,17.11
1960,New Delhi,46.65
1960,Mumbai,34.59
1960,Chennai,27.95
1960,Kolkata,20.28
1960,Bengaluru,30.92
1960,Pune,26.88
1960,Jaipur,20.1
1960,Surat,22.24
1960,Kanpur,29.35
1960,Nagpur,25.56
1960,Indore,28.04
1960,Visakhapatnam,29.89
1960,Patna,11.01
1960,Vadodara,36.56
1960,Agra,43.52
1960,Nashik,34.61
1960,Ranchi,18.21
1960,Faridabad,8.01
1960,Meerut,22.1
1960,Rajkot,35.22
1960,Vasai-Virar,32.32
1960,Varanasi,13.08
1960,Srinagar,-0.29
1960,Dhanbad,40.22
1960,Amritsar,19.27
1960,Prayagraj,12.44
1960,Howrah,21.19
1960,Jabalpur,5.72
1960,Coimbatore,25.02
1960,Vijayawada,39.38
1960,Jodhpur,16.17
1960,Madurai,39.13
1960,Kota,18.55
1960,Chandigarh,15.87
1960,Hubli-Dharwad,16.28
1960,Mysuru,23.82
1961,New Delhi,34.13
1961,Mumbai,35.44
1961,Kolkata,26.11
1961,Bengaluru,31.81
1961,Hyderabad,34.89
1961,Pune,30.56
1961,Ahmedabad,8.72
1961,Surat,32.47
1961,Lucknow,10.62
1961,Kanpur,15.39
1961,Nagpur,13.79
1961,Indore,17.04
1961,Thane,24.86
1961,Bhopal,5.7
1961,Patna,38.83
1961,Vadodara,33.95
1961,Ludhiana,10.22
1961,Agra,11.82
1961,Ranchi,12.17
1961,Faridabad,45.8
1961,Rajkot,35.67
1961,Kalyan-Dombivli,31.67
1961,Vasai-Virar,31.47
1961,Varanasi,33.61
1961,Srinagar,21.22
1961,Aurangabad,36.56
1961,Dhanbad,27.17
1961,Amritsar,7.98
1961,Navi Mumbai,28.28
1961,Prayagraj,19.62
1961,Howrah,29.05
1961,Gwalior,46.5
1961,Jabalpur,15.34
1961,Coimbatore,23.41
1961,Madurai,14.82
1961,Raipur,37.86
1961,Kota,13.58
1961,Guwahati,30.3
1961,Chandigarh,32.78
1961,Solapur,44.1
1961,Hubli-Dharwad,29.75
1961,Mysuru,32.59
1962,New Delhi,29.65
1962,Mumbai,23.39
1962,Chennai,31.96
1962,Bengaluru,19.25
1962,Hyderabad,10.26
1962,Pune,25.7
1962,Ahmedabad,26.25
1962,Jaipur,22.08
1962,Surat,21.12
1962,Lucknow,30.23
1962,Nagpur,43.14
1962,Indore,24.48
1962,Thane,34.82
1962,Visakhapatnam,24.82
1962,Vadodara,4.69
1962,Ghaziabad,4.82
1962,Ludhiana,40.42
1962,Agra,9.91
1962,Nashik,27.25
1962,Ranchi,24.52
1962,Faridabad,39.65
1962,Meerut,10.61
1962,Rajkot,43.34
1962,Vasai-Virar,26.48
1962,Varanasi,37.37
1962,Srinagar,11.48
1962,Dhanbad,19.23
1962,Amritsar,16.14
1962,Navi Mumbai,20.94
1962,Prayagraj,16.25
1962,Howrah,32.19
1962,Gwalior,32.55
1962,Coimbatore,32.45
1962,Vijayawada,19.84
1962,Jodhpur,6.49
1962,Madurai,22.09
1962,Kota,7.44
1962,Guwahati,28.16
1962,Chandigarh,44.17
1962,Solapur,29.41
1963,New Delhi,39.01
1963,Mumbai,22.56
1963,Kolkata,29.55
1963,Hyderabad,14.55
1963,Pune,25.22
1963,Ahmedabad,33.85
1963,Lucknow,11.32
1963,Indore,41.03
1963,Thane,34.11
1963,Bhopal,36.66
1963,Patna,6.34
1963,Ghaziabad,16.25
1963,Ludhiana,43.23
1963,Agra,9.52
1963,Nashik,22.18
1963,Ranchi,27.9
1963,Faridabad,34.95
1963,Rajkot,30.83
1963,Kalyan-Dombivli,33.93
1963,Vasai-Virar,22.52
1963,Varanasi,9.66
1963,Srinagar,20.38
1963,Aurangabad,34.88
1963,Dhanbad,32.54
1963,Navi Mumbai,21.27
1963,Prayagraj,45.72
1963,Jabalpur,9.27
1963,Coimbatore,26.99
1963,Vijayawada,18.25
1963,Jodhpur,9.28
1963,Madurai,10.92
1963,Raipur,27.07
1963,Kota,9.27
1963,Guwahati,14.85
1963,Chandigarh,30.53
1963,Solapur,15.35
1963,Hubli-Dharwad,27.47
1963,Mysuru,14.98
1964,New Delhi,19.8
1964,Mumbai,35.54
1964,Chennai,34.83
1964,Kolkata,31.2
1964,Bengaluru,20.4
1964,Hyderabad,24.85
1964,Pune,27.91
1964,Ahmedabad,18.51
1964,Surat,31.82
1964,Lucknow,27.17
1964,Kanpur,24.74
1964,Nagpur,31.59
1964,Indore,5.76
1964,Thane,20.22
1964,Patna,36.68
1964,Vadodara,11.21
1964,Ghaziabad,19.34
1964,Ludhiana,35.17
1964,Agra,11.2
1964,Nashik,29.02
1964,Ranchi,28.57
1964,Faridabad,18.84
1964,Meerut,15.86
1964,Rajkot,7.75
1964,Kalyan-Dombivli,28.43
1964,Vasai-Virar,33.32
1964,Varanasi,42.81
1964,Srinagar,27.25
1964,Aurangabad,46.4
1964,Dhanbad,7.01
1964,Navi Mumbai,25.11
1964,Prayagraj,46.88
1964,Howrah,34.12
1964,Jabalpur,24.8
1964,Vijayawada,8.73
1964,Madurai,7.58
1964,Raipur,20.09
1964,Kota,7.42
1964,Chandigarh,22.64
1964,Solapur,17.77
1964,Hubli-Dharwad,20.73
1965,New Delhi,6.2
1965,Mumbai,22.6
1965,Chennai,22.14
1965,Kolkata,20.16
1965,Hyderabad,44.69
1965,Pune,16.9
1965,Ahmedabad,12.86
1965,Surat,20.33
1965,Lucknow,6.69
1965,Kanpur,36.62
1965,Indore,27.92
1965,Thane,27.0
1965,Visakhapatnam,29.52
1965,Patna,32.65
1965,Ludhiana,24.56
1965,Agra,40.27
1965,Nashik,29.41
1965,Ranchi,5.7
1965,Faridabad,44.33
1965,Meerut,7.96
1965,Rajkot,19.26
1965,Kalyan-Dombivli,29.93
1965,Vasai-Virar,25.67
1965,Varanasi,27.31
1965,Srinagar,-2.86
1965,Aurangabad,19.76
1965,Dhanbad,40.67
1965,Amritsar,45.14
1965,Navi Mumbai,22.38
1965,Prayagraj,21.47
1965,Howrah,23.78
1965,Gwalior,34.96
1965,Jabalpur,19.79
1965,Vijayawada,44.25
1965,Jodhpur,35.98
1965,Madurai,46.82
1965,Raipur,23.33
1965,Kota,30.37
1965,Guwahati,32.96
1965,Chandigarh,44.63
1965,Solapur,34.15
1965,Mysuru,25.88
1966,Mumbai,34.26
1966,Chennai,20.7
1966,Kolkata,22.7
1966,Bengaluru,12.95
1966,Hyderabad,39.75
1966,Pune,29.12
1966,Ahmedabad,43.34
1966,Surat,33.46
1966,Lucknow,30.35
1966,Kanpur,37.5
1966,Nagpur,36.17
1966,Indore,40.04
1966,Thane,31.15
1966,Bhopal,14.6
1966,Visakhapatnam,37.49
1966,Patna,38.05
1966,Ghaziabad,38.9
1966,Ludhiana,45.91
1966,Agra,4.49
1966,Nashik,26.33
1966,Ranchi,20.57
1966,Faridabad,38.16
1966,Meerut,4.24
1966,Rajkot,9.1
1966,Kalyan-Dombivli,28.76
1966,Vasai-Virar,23.83
1966,Varanasi,29.46
1966,Aurangabad,9.17
1966,Navi Mumbai,27.55
1966,Prayagraj,37.69
1966,Howrah,29.08
1966,Gwalior,11.03
1966,Coimbatore,16.94
1966,Jodhpur,7.86
1966,Madurai,7.71
1966,Raipur,24.89
1966,Kota,17.05
1966,Chandigarh,39.22
1966,Solapur,40.31
1966,Hubli-Dharwad,29.68
1966,Mysuru,13.84
1967,New Delhi,19.26
1967,Chennai,36.48
1967,Bengaluru,14.15
1967,Hyderabad,21.49
1967,Pune,28.14
1967,Surat,37.34
1967,Lucknow,17.4
1967,Kanpur,10.68
1967,Indore,18.17
1967,Thane,22.14
1967,Patna,6.34
1967,Vadodara,12.48
1967,Ghaziabad,38.5
1967,Ludhiana,42.28
1967,Agra,20.88
1967,Nashik,15.68
1967,Ranchi,7.91
1967,Faridabad,35.82
1967,Meerut,8.55
1967,Kalyan-Dombivli,24.67
1967,Vasai-Virar,22.0
1967,Varanasi,31.81
1967,Srinagar,-3.24
1967,Aurangabad,14.48
1967,Dhanbad,17.58
1967,Amritsar,41.65
1967,Navi Mumbai,30.37
1967,Prayagraj,16.62
1967,Howrah,34.48
1967,Jabalpur,37.98
1967,Vijayawada,26.31
1967,Jodhpur,5.11
1967,Madurai,16.93
1967,Raipur,23.25
1967,Kota,28.97
1967,Guwahati,38.29
1967,Solapur,6.08
1967,Hubli-Dharwad,12.09
1967,Mysuru,23.99
1968,New Delhi,6.45
1968,Mumbai,31.71
1968,Chennai,23.83
1968,Kolkata,26.61
1968,Bengaluru,14.27
1968,Hyderabad,28.09
1968,Pune,28.12
1968,Ahmedabad,26.52
1968,Jaipur,45.09
1968,Surat,34.7
1968,Lucknow,43.29
1968,Kanpur,7.03
1968,Thane,23.49
1968,Bhopal,13.81
1968,Visakhapatnam,29.48
1968,Patna,23.61
1968,Vadodara,8.9
1968,Ludhiana,36.16
1968,Agra,11.61
1968,Nashik,14.35
1968,Ranchi,25.66
1968,Faridabad,14.23
1968,Vasai-Virar,23.62
1968,Varanasi,45.01
1968,Srinagar,-3.74
1968,Aurangabad,28.29
1968,Dhanbad,33.26
1968,Amritsar,29.88
1968,Prayagraj,6.22
1968,Gwalior,14.64
1968,Jabalpur,35.12
1968,Coimbatore,20.65
1968,Vijayawada,20.09
1968,Jodhpur,7.31
1968,Madurai,24.14
1968,Kota,12.98
1968,Guwahati,38.45
1968,Chandigarh,7.96
1968,Solapur,31.13
1968,Hubli-Dharwad,20.29
1968,Mysuru,19.2
1969,New Delhi,32.98
1969,Mumbai,24.9
1969,Chennai,30.18
1969,Kolkata,22.94
1969,Bengaluru,27.48
1969,Hyderabad,26.25
1969,Pune,18.01
1969,Ahmedabad,46.78
1969,Jaipur,19.99
1969,Surat,28.01
1969,Lucknow,33.02
1969,Kanpur,24.32
1969,Indore,21.3
1969,Thane,29.59
1969,Bhopal,33.24
1969,Visakhapatnam,31.53
1969,Patna,8.71
1969,Vadodara,10.33
1969,Ghaziabad,26.48
1969,Ludhiana,45.68
1969,Agra,37.25
1969,Nashik,12.84
1969,Ranchi,12.58
1969,Faridabad,30.08
1969,Meerut,15.81
1969,Rajkot,35.48
1969,Vasai-Virar,28.62
1969,Varanasi,32.53
1969,Srinagar,12.9
1969,Aurangabad,45.4
1969,Dhanbad,46.39
1969,Amritsar,13.29
1969,Navi Mumbai,28.83
1969,Howrah,31.01
1969,Gwalior,26.93
1969,Jabalpur,35.14
1969,Jodhpur,24.79
1969,Raipur,45.87
1969,Kota,31.14
1969,Guwahati,37.53
1969,Chandigarh,19.26
1969,Solapur,5.11
1969,Hubli-Dharwad,28.6
1969,Mysuru,34.53
1970,New Delhi,25.25
1970,Mumbai,23.59
1970,Chennai,23.41
1970,Bengaluru,27.98
1970,Hyderabad,31.8
1970,Pune,28.21
1970,Ahmedabad,44.75
1970,Surat,33.8
1970,Lucknow,39.97
1970,Kanpur,16.92
1970,Nagpur,12.19
1970,Indore,42.49
1970,Bhopal,8.27
1970,Visakhapatnam,29.89
1970,Patna,29.78
1970,Vadodara,23.46
1970,Ludhiana,37.99
1970,Nashik,29.5
1970,Faridabad,16.93
1970,Meerut,5.84
1970,Rajkot,19.88
1970,Kalyan-Dombivli,21.2
1970,Srinagar,24.04
1970,Aurangabad,7.11
1970,Dhanbad,31.96
1970,Amritsar,15.81
1970,Navi Mumbai,24.52
1970,Prayagraj,44.62
1970,Gwalior,21.47
1970,Jabalpur,22.08
1970,Vijayawada,10.47
1970,Jodhpur,45.4
1970,Madurai,14.38
1970,Raipur,23.59
1970,Kota,35.76
1970,Guwahati,11.4
1970,Solapur,25.94
1970,Hubli-Dharwad,15.58
1970,Mysuru,34.86
1971,New Delhi,37.34
1971,Mumbai,27.29
1971,Kolkata,30.47
1971,Bengaluru,25.41
1971,Hyderabad,25.74
1971,Pune,20.15
1971,Ahmedabad,7.32
1971,Surat,28.62
1971,Lucknow,41.12
1971,Kanpur,33.79
1971,Nagpur,35.88
1971,Indore,21.84
1971,Thane,36.46
1971,Bhopal,40.91
1971,Visakhapatnam,24.74
1971,Patna,39.31
1971,Vadodara,15.19
1971,Ludhiana,23.97
1971,Agra,21.47
1971,Nashik,22.05
1971,Ranchi,25.12
1971,Faridabad,9.7
1971,Rajkot,17.75
1971,Vasai-Virar,29.23
1971,Varanasi,45.16
1971,Aurangabad,34.82
1971,Dhanbad,10.51
1971,Amritsar,14.96
1971,Navi Mumbai,22.35
1971,Prayagraj,8.64
1971,Jabalpur,27.24
1971,Coimbatore,19.76
1971,Vijayawada,28.3
1971,Raipur,29.33
1971,Kota,27.06
1971,Guwahati,23.8
1971,Chandigarh,45.84
1971,Solapur,46.28
1971,Hubli-Dharwad,25.08
1972,Mumbai,32.33
1972,Chennai,34.0
1972,Kolkata,28.34
1972,Bengaluru,24.37
1972,Hyderabad,8.27
1972,Pune,17.39
1972,Ahmedabad,43.65
1972,Jaipur,26.73
1972,Surat,21.36
1972,Lucknow,14.67
1972,Kanpur,23.11
1972,Nagpur,34.74
1972,Indore,23.83
1972,Thane,28.77
1972,Bhopal,34.71
1972,Visakhapatnam,27.29
1972,Patna,39.76
1972,Vadodara,44.7
1972,Ludhiana,34.57
1972,Agra,8.22
1972,Nashik,12.92
1972,Faridabad,39.35
1972,Meerut,16.6
1972,Kalyan-Dombivli,23.86
1972,Vasai-Virar,34.12
1972,Varanasi,18.63
1972,Srinagar,2.72
1972,Dhanbad,40.78
1972,Amritsar,46.13
1972,Navi Mumbai,21.45
1972,Prayagraj,10.41
1972,Gwalior,25.43
1972,Coimbatore,22.11
1972,Vijayawada,45.4
1972,Jodhpur,4.37
1972,Madurai,44.86
1972,Raipur,10.26
1972,Kota,10.24
1972,Chandigarh,19.06
1972,Solapur,4.78
1972,Hubli-Dharwad,15.83
1972,Mysuru,16.8
1973,New Delhi,7.7
1973,Mumbai,36.95
1973,Chennai,29.6
1973,Kolkata,37.72
1973,Bengaluru,22.2
1973,Pune,16.04
1973,Ahmedabad,16.28
1973,Jaipur,29.89
1973,Surat,34.22
1973,Lucknow,18.94
1973,Kanpur,17.45
1973,Nagpur,30.73
1973,Indore,4.57
1973,Thane,26.88
1973,Visakhapatnam,31.62
1973,Patna,28.26
1973,Vadodara,33.92
1973,Ghaziabad,46.98
1973,Ludhiana,28.75
1973,Agra,35.41
1973,Nashik,21.6
1973,Ranchi,24.49
1973,Faridabad,17.31
1973,Meerut,31.97
1973,Rajkot,8.5
1973,Kalyan-Dombivli,37.52
1973,Vasai-Virar,30.0
1973,Varanasi,30.86
1973,Srinagar,28.49
1973,Dhanbad,10.81
1973,Amritsar,41.44
1973,Navi Mumbai,27.29
1973,Prayagraj,10.96
1973,Howrah,37.81
1973,Gwalior,29.94
1973,Jabalpur,28.84
1973,Coimbatore,21.67
1973,Vijayawada,42.99
1973,Madurai,40.98
1973,Raipur,41.54
1973,Kota,14.53
1973,Guwahati,38.54
1973,Chandigarh,27.83
1973,Mysuru,26.12
1974,New Delhi,29.22
1974,Mumbai,25.57
1974,Chennai,21.56
1974,Kolkata,24.27
1974,Bengaluru,16.85
1974,Hyderabad,36.54
1974,Pune,32.69
1974,Ahmedabad,4.74
1974,Surat,33.06
1974,Kanpur,10.93
1974,Nagpur,27.81
1974,Indore,46.3
1974,Thane,33.15
1974,Bhopal,7.76
1974,Patna,30.7
1974,Vadodara,33.48
1974,Ghaziabad,12.53
1974,Agra,39.6
1974,Nashik,25.36
1974,Ranchi,10.58
1974,Faridabad,12.69
1974,Rajkot,27.48
1974,Kalyan-Dombivli,28.6
1974,Vasai-Virar,27.84
1974,Srinagar,19.87
1974,Aurangabad,30.88
1974,Dhanbad,32.34
1974,Navi Mumbai,20.34
1974,Prayagraj,37.27
1974,Howrah,30.53
1974,Gwalior,31.5
1974,Coimbatore,32.54
1974,Jodhpur,23.6
1974,Madurai,35.12
1974,Raipur,13.28
1974,Kota,14.99
1974,Guwahati,11.7
1974,Chandigarh,37.82
1974,Solapur,17.22
1974,Hubli-Dharwad,18.6
1974,Mysuru,21.72
1975,New Delhi,45.53
1975,Mumbai,37.35
1975,Chennai,31.94
1975,Bengaluru,30.13
1975,Hyderabad,37.22
1975,Pune,31.54
1975,Jaipur,41.16
1975,Surat,29.18
1975,Nagpur,21.6
1975,Indore,37.64
1975,Thane,24.7
1975,Bhopal,37.07
1975,Patna,8.59
1975,Ghaziabad,19.58
1975,Ludhiana,42.52
1975,Agra,30.16
1975,Nashik,19.39
1975,Ranchi,29.97
1975,Faridabad,9.3
1975,Meerut,15.85
1975,Rajkot,11.34
1975,Kalyan-Dombivli,22.21
1975,Varanasi,33.52
1975,Srinagar,22.22
1975,Aurangabad,40.27
1975,Dhanbad,5.42
1975,Amritsar,33.57
1975,Navi Mumbai,28.43
1975,Prayagraj,30.14
1975,Howrah,35.91
1975,Jabalpur,37.31
1975,Vijayawada,17.69
1975,Jodhpur,22.75
1975,Madurai,35.53
1975,Raipur,26.11
1975,Kota,6.78
1975,Solapur,32.79
1975,Hubli-Dharwad,22.7
1976,New Delhi,20.43
1976,Mumbai,27.42
1976,Chennai,34.39
1976,Kolkata,26.23
1976,Bengaluru,27.04
1976,Hyderabad,6.06
1976,Pune,18.21
1976,Ahmedabad,15.08
1976,Jaipur,24.82
1976,Surat,26.93
1976,Lucknow,31.27
1976,Kanpur,15.11
1976,Nagpur,10.34
1976,Thane,24.47
